iter	Passed	Remaining
411	3941	5624
412	3950	5615
413	3960	5605
414	3971	5597
415	3981	5589
416	3991	5579
417	4001	5570
418	4010	5561
419	4020	5552
420	4030	5542
421	4039	5533
422	4049	5523
423	4059	5515
424	4069	5505
425	4079	5496
426	4088	5487
427	4098	5477
428	4108	5468
429	4118	5458
430	4119	5437
431	4129	5429
432	4139	5421
433	4150	5412
434	4159	5402
435	4169	5393
436	4179	5384
437	4188	5374
438	4198	5365
439	4207	5355
440	4217	5345
441	4227	5337
442	4237	5327
443	4247	5318
444	4256	5309
445	4266	5299
446	4276	5290
447	4286	5281
448	4296	5272
449	4305	5262
450	4317	5255
451	4326	5245
452	4336	5236
453	4346	5227
454	4356	5217
455	4365	5208
456	4375	5198
457	4384	5189
458	4394	5179
459	4404	5170
460	4413	5160
461	4423	5151
462	4433	5141
463	4442	5132
464	4453	5124
465	4463	5115
466	4473	5106
467	4483	5096
468	4493	5087
469	4502	5077
470	4512	5068
471	4522	5059
472	4532	5050
473	4543	5041
474	4553	5032
475	4563	5023
476	4573	5014
477	4583	5005
478	4593	4996
479	4603	4986
480	4612	4976
481	4621	4966
482	4631	4957
483	4640	4947
484	4650	4937
485	4659	4928
486	4669	4919
487	4679	4909
488	4688	4899
489	4698	4890
490	4707	4880
491	4717	4870
492	4726	4861
493	4736	4851
494	4745	4841
495	4755	4831
496	4764	4822
497	4774	4812
498	4783	4802
499	4792	4792
500	4802	4783
501	4811	4773
502	4821	4763
503	4830	4754
504	4840	4744
505	4850	4735
506	4860	4726
507	4870	4716
508	4879	4707
509	4889	4697
510	4899	4688
511	4900	4671
512	4910	4661
513	4920	4652
514	4929	4642
515	4939	4633
516	4949	4623
517	4958	4614
518	4968	4604
519	4978	4595
520	4987	4585
521	4997	4576
522	5007	4567
523	5017	4557
524	5027	4548
525	5036	4538
526	5046	4529
527	5056	4520
528	5065	4510
529	5075	4500
530	5085	4491
531	5094	4481
532	5104	4472
533	5114	4463
534	5124	4453
535	5134	4444
536	5143	4435
537	5153	4425
538	5163	4416
539	5172	4406
540	5183	4397
541	5193	4388
542	5203	4379
543	5213	4370
544	5224	4361
545	5234	4352
546	5244	4343
547	5254	4333
548	5263	4324
549	5273	4314
550	5283	4305
551	5293	4295
552	5302	4286
553	5312	4276
554	5322	4267
555	5331	4257
556	5341	4248
557	5351	4239
558	5352	4222
559	5362	4213
560	5372	4203
561	5381	4194
562	5391	4184
563	5401	4175
564	5412	4166
565	5421	4157
566	5431	4147
567	5441	4138
568	5450	4128
569	5460	4119
570	5470	4109
571	5479	4100
572	5489	4090
573	5499	4081
574	5510	4072
575	5520	4063
576	5530	4054
577	5540	4045
578	5550	4035
579	5559	4026
580	5569	4016
581	5579	4007
582	5589	3997
583	5598	3988
584	5608	3978
585	5617	3969
586	5627	3959
587	5636	3949
588	5647	3940
589	5656	3930
590	5666	3921
591	5676	3911
592	5685	3902
593	5694	3892
594	5704	3882
595	5713	3872
596	5722	3863
597	5732	3853
598	5741	3843
599	5751	3834
600	5761	3824
601	5770	3815
602	5780	3805
603	5789	3795
604	5798	3785
605	5808	3776
606	5817	3766
607	5827	3756
608	5836	3747
609	5847	3738
610	5857	3729
611	5867	3720
612	5877	3710
613	5887	3701
614	5898	3692
615	5908	3683
616	5918	3673
617	5928	3664
618	5937	3654
619	5947	3645
620	5956	3635
621	5966	3626
622	5976	3616
623	5986	3607
624	5996	3597
625	6005	3588
626	6015	3578
627	6025	3569
628	6034	3559
629	6045	3550
630	6054	3540
631	6064	3531
632	6074	3521
633	6083	3512
634	6093	3502
635	6103	3493
636	6112	3483
637	6122	3473
638	6132	3464
639	6141	3454
640	6151	3445
641	6161	3435
642	6170	3426
643	6180	3416
644	6190	3407
645	6200	3397
646	6210	3388
647	6219	3378
648	6230	3369
649	6240	3360
650	6249	3350
651	6259	3340
652	6268	3331
653	6278	3321
654	6288	3312
655	6300	3303
656	6309	3294
657	6319	3284
658	6329	3274
659	6338	3265
660	6348	3255
661	6358	3246
662	6369	3237
663	6379	3227
664	6388	3218
665	6398	3208
666	6408	3199
667	6418	3189
668	6427	3180
669	6456	3179
670	6465	3170
671	6475	3160
672	6485	3151
673	6495	3141
674	6505	3132
675	6515	3122
676	6525	3113
677	6535	3103
678	6545	3094
679	6554	3084
680	6564	3075
681	6574	3065
682	6583	3055
683	6592	3045
684	6602	3036
685	6611	3026
686	6621	3016
687	6630	3006
688	6639	2997
689	6649	2987
690	6658	2977
691	6667	2967
692	6676	2957
693	6686	2948
694	6697	2939
695	6706	2929
696	6715	2919
697	6725	2909
698	6734	2899
699	6743	2890
700	6753	2880
701	6762	2870
702	6771	2860
703	6781	2851
704	6790	2841
705	6800	2832
706	6810	2822
707	6825	2815
708	6835	2805
709	6845	2795
710	6854	2786
711	6864	2776
712	6874	2766
713	6883	2757
714	6893	2747
715	6903	2738
716	6913	2728
717	6923	2719
718	6934	2710
719	6943	2700
720	6953	2690
721	6963	2681
722	6972	2671
723	6982	2661
724	6991	2652
725	7001	2642
726	7010	2632
727	7020	2623
728	7030	2613
729	7040	2603
730	7050	2594
731	7059	2584
732	7069	2575
733	7079	2565
734	7088	2555
735	7099	2546
736	7108	2536
737	7118	2527
738	7128	2517
739	7138	2508
740	7148	2498
741	7158	2489
742	7168	2479
743	7178	2469
744	7187	2460
745	7197	2450
746	7207	2440
747	7216	2431
748	7226	2421
749	7236	2412
750	7246	2402
751	7256	2393
752	7266	2383
753	7276	2373
754	7285	2364
755	7295	2354
756	7305	2344
757	7314	2335
758	7324	2325
759	7334	2316
760	7343	2306
761	7353	2296
762	7363	2287
763	7373	2277
764	7383	2268
765	7393	2258
766	7403	2249
767	7413	2239
768	7422	2229
769	7432	2220
770	7442	2210
771	7453	2201
772	7462	2191
773	7473	2182
774	7483	2172
775	7493	2163
776	7504	2153
777	7515	2144
778	7525	2134
779	7535	2125
780	7545	2115
781	7554	2106
782	7564	2096
783	7573	2086
784	7583	2077
785	7593	2067
786	7602	2057
787	7611	2047
788	7621	2038
789	7630	2028
790	7640	2018
791	7650	2009
792	7659	1999
793	7668	1989
794	7678	1979
795	7687	1970
796	7697	1960
797	7708	1951
798	7718	1941
799	7727	1931
800	7743	1923
801	7752	1914
802	7762	1904
803	7771	1894
804	7780	1884
805	7790	1875
806	7800	1865
807	7810	1855
808	7819	1846
809	7840	1839
810	7849	1829
811	7859	1819
812	7868	1809
813	7878	1800
814	7887	1790
815	7897	1780
816	7907	1771
817	7917	1761
818	7927	1751
819	7937	1742
820	7946	1732
821	7956	1722
822	7966	1713
823	7975	1703
824	7985	1693
825	7994	1684
826	8004	1674
827	8015	1665
828	8025	1655
829	8035	1645
830	8045	1636
831	8055	1626
832	8067	1617
833	8076	1607
834	8086	1597
835	8095	1588
836	8105	1578
837	8115	1568
838	8124	1559
839	8134	1549
840	8145	1539
841	8155	1530
842	8165	1520
843	8175	1511
844	8185	1501
845	8195	1491
846	8205	1482
847	8216	1472
848	8228	1463
849	8238	1453
850	8248	1444
851	8257	1434
852	8267	1424
853	8276	1415
854	8286	1405
855	8296	1395
856	8305	1385
857	8316	1376
858	8326	1366
859	8336	1357
860	8345	1347
861	8355	1337
862	8364	1327
863	8374	1318
864	8384	1308
865	8393	1298
866	8403	1289
867	8413	1279
868	8422	1269
869	8432	1260
870	8442	1250
871	8452	1240
872	8462	1231
873	8472	1221
874	8482	1211
875	8492	1202
876	8502	1192
877	8511	1182
878	8521	1173
879	8531	1163
880	8541	1153
881	8551	1144
882	8561	1134
883	8571	1124
884	8581	1115
885	8590	1105
886	8599	1095
887	8608	1085
888	8618	1076
889	8623	1065
890	8632	1056
891	8642	1046
892	8651	1036
893	8661	1026
894	8670	1017
895	8679	1007
896	8689	997
897	8698	988
898	8707	978
899	8717	968
900	8727	958
901	8737	949
902	8746	939
903	8755	929
904	8765	920
905	8774	910
906	8784	900
907	8793	890
908	8802	881
909	8812	871
910	8821	861
911	8831	852
912	8840	842
913	8849	832
914	8860	823
915	8870	813
916	8880	803
917	8889	794
918	8899	784
919	8908	774
920	8918	764
921	8928	755
922	8937	745
923	8947	735
924	8956	726
925	8966	716
926	8976	706
927	8985	697
928	8995	687
929	9005	677
930	9023	668
931	9033	659
932	9043	649
933	9053	639
934	9062	630
935	9072	620
936	9082	610
937	9092	600
938	9102	591
939	9112	581
940	9123	572
941	9132	562
942	9142	552
943	9153	542
944	9163	533
945	9174	523
946	9185	514
947	9196	504
948	9275	498
949	9295	489
950	9321	480
951	9334	470
952	9345	460
953	9357	451
954	9369	441
955	9379	431
956	9391	421
957	9403	412
958	9423	402
959	9439	393
960	9453	383
961	9468	374
962	9483	364
963	9500	354
964	9513	345
965	9530	335
966	9548	325
967	9561	316
968	9575	306
969	9588	296
970	9600	286
971	9613	276
972	9625	267
973	9637	257
974	9649	247
975	9662	237
